Floor_Num,Total_Floor_Area,Column_Area,Concrete_Wall_AreaNS,Concrete_Wall_AreaEW,Masonry_Wall_AreaNS,Masonry_Wall_AreaEW,Captive_Columns,Damage_Class
6,3160,9.7,0,0,4.3,3,0,3
2,168,0.5,0,0,2.9,0.5,0,2
2,642,1.6,0,0,3.7,2.9,1,1
2,174,0.9,0,0,4.4,0.7,0,1
3,307,0.9,0,0,0.9,3.1,0,2
4,430,1.4,0,0,3.7,0.8,1,3
4,570,3,0,0,1.2,2.3,0,2
2,599,3.7,0,0,3.2,3,0,3
5,1026,2.8,0,0,2.6,3.7,1,3
4,3169,5,0,0,4,4.3,0,3
3,327,2.2,0,0,0.9,1.1,0,2
3,477,1.9,0,0,13.2,1.2,0,3
2,339,2.2,0,0,1,4,0,1
1,114,1,0,0,1.6,0.9,0,2
3,417,1.8,0,0,7.3,0.7,1,3
2,897,2.2,0,0,5,1.7,0,3
3,726,3,0,0,4.4,1.9,0,3
3,144,0.5,0,0,2.2,0.5,0,2
2,88,0.4,0,0,1.1,0.3,0,2
4,824,2.8,0,0,3.1,4.5,0,3
1,96,0.7,0,0,2.4,0.7,0,3
3,1566,5.4,0,0,7.2,6.1,1,3
1,1027,3.6,0,0,6.9,7.2,1,1
2,657,2.2,0,0,2.8,5.3,1,2
2,623,3.3,0,0,5.9,5.2,1,1
2,702,2.8,0,0,5,6.5,1,3
2,635,2.3,0,0,3.3,3.1,0,3
2,226,1.4,0,0,0,2.7,1,1
2,314,2,0,0,2,3.9,1,1
3,688,1.1,0,0,0,2.7,1,3
3,676,1.1,0,0,0,2.8,1,2
3,852,1.7,0,0,3.4,0,1,3
4,874,3,0,0,1.9,2.1,1,3
3,688,1.7,0,0,3.4,0,1,1
3,712,5,0,0,3.9,0,1,1
5,1310,3.2,0,0,2.9,1.9,0,3
2,328,1.6,0,0,0,1.7,1,3
2,86,0.6,0,0,0.9,4.1,1,3
2,323,0.6,0,0,2.7,0.4,1,1
1,258,0.8,0,0,1.5,7.9,1,3
2,356,2.4,0,0,0.5,3.4,1,2
1,164,1.4,0,0,2.8,2.1,1,1
3,813,2.3,0,0,2,4.1,0,3
3,197,1,0,0,1.1,0.5,0,1
2,276,1.5,0,0,4,0.8,0,3
4,719,1.9,0,0,3.6,3.4,0,3
6,1098,3.7,0,0,2.2,6.2,1,3
4,1433,3.4,0,0,2.5,5.8,1,3
2,315,1.2,0,0,3.1,0,1,3
2,272,1.1,0,0,0,1.7,1,2
2,232,1.1,0,0,0,1.3,1,2
2,437,1.7,0,0,4,0,1,3
2,346,2.1,0,0,2.1,1.4,1,2
2,312,2,0,0,2.4,0,1,2
2,290,2,0,0,2,1.5,1,2
5,1242,2.9,0,0,3.5,1.3,1,2
6,1545,5.3,0,0,2.3,1.3,0,3
3,537,1.8,0,0,1,0,1,1
3,514,2.2,0,0,1.5,1.2,0,1
3,1425,4.3,0,0,5.2,3.2,0,2
4,238,1,0,0,0.8,0,1,2
5,299,1.2,0,0,2.1,1,0,1
5,387,0.9,0,0,0.3,1.4,0,1
5,414,1.3,0,0,0.9,0.3,0,3
6,3160,9.7,0,0,4.3,3,0,3
2,155,1.4,0,0,0,2.1,0,1
2,731,3.1,0,0,5.9,2,0,1
5,305,2.4,0,0,2,1.4,0,3
2,324,1.5,0,0,3.1,2.2,0,1
3,266,1.6,0,0,3.9,8.2,0,1
2,315,1.4,0,0,2,1,0,1
2,418,3.2,0,0,4.8,1.4,0,1
5,657,3.6,0,0,1.4,2,0,2
4,656,2,0,0,1.3,1.2,0,2
3,246,1.8,0,0,1.6,7.6,0,3
5,583,1.8,0,0,1,1.1,0,3
3,388,1.8,0,0,1,1.1,1,3
6,1333,3,0,0,3.1,0.1,0,3
4,493,1.4,0,0,0.6,1.4,0,3
3,792,3.2,0,0,1,2.7,1,3
3,460,1.4,0,0,5.3,1.8,0,3
2,175,0.8,0,0,2,1.1,0,2
2,459,3.6,0,0,0,1.4,1,1
1,223,1.7,0,0,1.4,0,1,1
3,1031,3.5,0,0,1.6,2.4,1,3
3,762,2.1,0,0,1.1,0,1,1
2,864,2.3,0,0,2.3,5,1,1
2,947,2.7,0,0,2.3,5.1,0,1
